"wavelength_nm","otc_arbunits","lamp_arbunits","absorbance"
713.386,23946.566,25098.281,0.02040073
713.726,23890.613,25039.575,0.02039965
714.065,23733.556,24834.157,0.0196866
714.405,23665.233,24782.837,0.02004024
714.745,23553.462,24705.492,0.02073875
715.085,23497.968,24668.064,0.02110474
715.424,23508.393,24656.347,0.0207058
715.764,23332.8,24425.633,0.01987896
716.104,23260.961,24345.866,0.01979756
716.443,23099.698,24245.997,0.02103374
716.783,23049.074,24184.953,0.02089175
717.123,23017.25,24107.509,0.02009891
717.462,22944.578,24091.171,0.02117784
717.802,22810.782,23920.777,0.02063511
718.142,22845.09,23970.197,0.02087873
718.481,22628.321,23732.712,0.02069504
718.821,22511.881,23615.256,0.02078088
719.161,22480.33,23550.097,0.02019002
719.5,22424.605,23517.538,0.02066706
719.84,22311.525,23386.477,0.02043556
720.18,22217.838,23288.662,0.02044276
720.52,22113.202,23207.866,0.02098357
720.859,22127.545,23205.487,0.02065747
721.199,21919.334,22973.168,0.02039354
721.539,21967.846,23019.643,0.02031111
721.878,21845.771,22883.05,0.02014653
722.218,21802.747,22910.163,0.02151697
722.558,21660.125,22680.604,0.01999367
722.897,21534.775,22572.692,0.02044301
723.237,21445.277,22452.271,0.01992862
723.577,21414.793,22405.944,0.01964936
723.916,21364.873,22343.75,0.01945573
724.256,21273.137,22257.906,0.01965277
724.596,21185.393,22187.105,0.02006411
724.935,21156.636,22159.02,0.02010394
725.275,21003.887,21997.824,0.02008005
725.615,20886.965,21870.699,0.01998732
725.955,20846.48,21779.213,0.01900945
726.294,20716.202,21692.762,0.02000472
726.634,20691.803,21703.169,0.02072481
726.974,20465.438,21345.665,0.01828864
727.313,20611.347,21612.996,0.02060861
727.653,20367.634,21318.068,0.01980725
727.993,20406.738,21355.005,0.01972609
728.332,20231.858,21170.703,0.01969952
728.672,20159.367,21080.107,0.0193959
729.012,20086.975,20980.395,0.01889913
729.351,19961.654,20885.225,0.01964262
729.691,19864.695,20806.033,0.02010736
730.031,19795.713,20738.715,0.02021071
730.371,19778.808,20693.187,0.01962727
730.71,19717.267,20644.461,0.01995682
731.05,19529.733,20472.698,0.02047877
731.39,19458.359,20372.603,0.01994031
731.729,19453.057,20319.356,0.01892209
732.069,19323.279,20231.533,0.01994797
732.409,19281.404,20246.478,0.02121084
732.748,19220.681,20115.608,0.0197644
733.088,19027.663,19954.869,0.02066343
733.428,18975.141,19896.625,0.0205944
733.767,18930.857,19838.133,0.02033051
734.107,18820.136,19747.376,0.02088663
734.447,18759.598,19648.608,0.02010826
734.786,18613.325,19545.048,0.0212128
735.126,18538.931,19387.922,0.01944657
735.466,18513.683,19381.234,0.0198886
735.806,18435.007,19275.278,0.01935734
736.145,18355.547,19202.957,0.01960077
736.485,18132.023,19009.661,0.02052811
736.825,18098.23,18983.926,0.02074993
737.164,18074.73,18914.51,0.01972327
737.504,17961.554,18804.997,0.01992937
737.844,17865.118,18689.674,0.01959584
738.183,17695.982,18569.324,0.02092142
738.523,17628.948,18505.998,0.02108613
738.863,17582.263,18406.927,0.01990651
739.202,17431.821,18233.325,0.01952312
739.542,17334.353,18163.916,0.02030186
739.882,17177.063,18005.49,0.02045604
740.221,17212.204,18015.716,0.01981504
740.561,17006.104,17833.406,0.02062946
740.901,17016.985,17832.207,0.02032249
741.241,16816.415,17598.302,0.01973735
741.58,16674.849,17490.847,0.02074892
741.92,16688.247,17506.867,0.02079771
742.26,16639.726,17452.837,0.02071986
742.599,16546.351,17336.7,0.02026422
742.939,16521.349,17322.277,0.02055945
743.279,16514.429,17327.335,0.02086822
743.618,16443.238,17247.633,0.02074215
743.958,16457.963,17307.617,0.02186121
744.298,16384.221,17218.354,0.02156586
744.637,16377.755,17202.354,0.02133351
744.977,16448.004,17278.378,0.02138977
745.317,16400.07,17198.37,0.02064161
745.656,16371.759,17152.748,0.02023836
745.996,16367.315,17125.034,0.01965402
746.336,16388.601,17167.768,0.02017194
746.676,16376.061,17202.604,0.02138474
747.015,16336.008,17143.777,0.02096055
747.355,16360.297,17146.349,0.02038049
747.695,16376.422,17146.885,0.0199662
748.034,16348.883,17146.513,0.02068772
748.374,16283.527,17115.977,0.02165322
748.714,16234.794,17058.551,0.02149536
749.053,16283.193,17098.89,0.02122835
